Gs, Gs, Gll, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gd, Gs, Gd, Gs, Gs, Rp, Gs, Gs, Gs, Gs, Gs, Gs, Gd, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Ww, Hh, Hh, Mm, Mm
Gll, Gll, Gll, Gll, Gll, Gll, Gll, Gs, Gs, Gs, Gs, Gd, Gs, Gd, Gs, Gs, Chr, Rp, Rp, Gs, Gs, Gs, Gd, Gd, Gs, Gd, Gs, Gs, Gs, Gs, Re, Gs, Gs, Gs, Gs, Ww, Gs, Hh, Hh, Mm
Ww, Gll, Ww, Gll, Gll, Gll, Gll, Gs, Gs, Gs, Chr, Gd, Gd, Gd, Gd, Gd, Chr, Chr, Rp, Gs, Gs, Gs, Gd, Gs, Gs, Gs, Gs, Gs, Re, Re, Re, Re, Gs, Gs, Gs, Ww, Gs, Gs, Hh, Hh
Ww, Ww, Ds, Ww, Gs, Gll, Gll, Gs, Gs, Chr, Chr, Gs, Re, Gs, Re, Gs, Re, Re, Re, Rp, Gs, Gs, Gs, Gs, Gs, Gs, Gs, Re, Re, Re, Gs, Re, Gs, Gs, Gs, Ww, Wwf, Re, Gs, Hh
Ww, Ww, Ds, Wo, Gg, Gs, Gs, Gs, Chr,Khr, Chr, Re, Re, Re, Re, Re, Re, Gd, Gs, Rp, Rp, Gs, Rp, Gs, Rp, Rp, Rp, Gs, Gs, Gs, Re, Gs, Re, Re, Re, Re, Ww, Gs, Gs, Gs
Ww, Ww, Ds, Wo, Wo, Gs, Ww, Gg, Chw, Chr, Gs, Gd, Gd, Gd, Re, Re, Gd, Gd, Gs, Gs, Gs, Rp, Gs, Rp, Gs, Gs, Gs, Rp, Rp, Re, Gs, Re, Gs, Gs, Gs, Gs, Ww, Gs, Gs, Gs
Ww, Ww, Ds, Ds, Ww, Ww, Ww, Ww, Ww, Re, Re, Gs, Gg, Re, Re, Re, Re, Re, Gg, Gs, Gs, Gs, Gs, Gs, Gs, Gg, Gs, Gs, Rp, Gs, Gs, Gs, Gs, Gs, Gs, Ww, Gs, Gs, Re, Gs
Gg, Ww, Ww, Ww, Gg, Gs, Gs, Gg, Gg, Ww, Ww, Ww, Ww, Re, Gs, Re, Khr, Chr, Gll, Gll, Gll, Gs, Gs, Gg, Gg, Gg, Rp, Rp, Gs, Gs, Gs, Gs, Re, Gs, Gs, Ww, Ww, Gs, Gs, Gs
Gg, Gg, Ww, Chw, Gg, Gg, Gs, Gg, Gg, Gg, Gg, Gg, Gg, Ww, Ww, Re, Chr, Chr, Gll, Gll, Gll, Gs, Gll, Gs, Gs, Rp, Gs, Rp, Rp, Gs, Re, Re, Re, Re, Re, Gs, Gs, Ww, Gs, Gs
Ww, Ww, Wo, Ww, Ww, Gg, Gll, Gll, Gg, Gs, Gs, Gg, Gg, Gg, Ww, Gg, Gs, Gs, Gg, Gs, Gs, Gll, Gs, Gs, Gg, Rp, Gs, Gs, Rp, Gs, Gs, Re, Re, Re, Re, Gs, Gs, Ww, Ss, Ss
Ww, Ww, Wo, Wo, Ww, Gll, Gll, Gll, Gll, Gs, Gs, Gg, Gs, Gg, Wwf, Ww, Ww, Gg, Ww, Gg, Gs, Gs, Ds, Gs, Rp, Rp, Ww, Gg, Rp, Gg, Ww, Gg, Ww, Ww, Ww, Re, Ww, Ww, Gg, Gg
Ww, Ww, Ww, Ww, Gg, Gll, Re, Re, Re, Gs, Gs, Gll, Gs, Gs, Gs, Ww, Ww, Ww, Ww, Ww, Ww, Ww, Ww, Ds, Rp, Ww, Ww, Ww, Wo, Ww, Wo, Ww, Ww, Ww, Ww, Ww, Gg, Gg, Gg, Gg
Ww, Ww, Ww, Ww, Gg, Re, Re, Re, Re, Gs, Re, Re, Re, Re, Re, Re, Gg, Ww, Ds, Ww, Wo, Wo, Wo, Ww, Ww, Ww, Wo, Wo, Ww, Wo, Ww, Ww, Gg, Ww, Gg, Gg, Gg, Gg, Gs, Gs
Gg, Gg, Ww, Gg, Re, Re, Gll, Gll, Gll, Re, Re, Re, Gs, Gs, Gg, Gg, Gs, Gg, Ds, Wo, Ds, Ww, Ww, Ww, Rp, Ww, Gg, Ww, Gg, Ww, Gg, Rp, Rp, Gg, Gg, Gg, Gg, Gg, Gs, Gs
Gg, Gg, Gg, Ww, Re, Gs, Gll, Gll, Gll, Re, Gs, Gg, Gg, Gs, Gs, Gs, Gs, Gg, Gs, Ds, Gg, Gg, Gg, Gg, Gll, Rp, Rp, Gg, Gll, Gg, Gll, Gg, Gg, Rp, Rp, Rp, Rp, Gs, Gs, Gs
Gg, Gg, Gg, Ww, Re, Gs, Gs, Gs, Gs, Gs, Gg, Gg, Gs, Gll, Gll, Gs, Gll, Gs, Gg, Gs, Gg, Gg, Gg, Gg, Gll, Gg, Rp, Gg, Gll, Gll, Gg, Gg, Gg, Gg, Gg, Gg, Rp, Gs, Gg, Gg
Gg, Gg, Ww, Ww, Re, Gll, Gll, Gs, Gg, Gs, Gs, Hh, Gs, Gs, Gg, Gs, Gll, Gg, Hh, Gg, Gs, Gg, Hh, Gll, Gg, Gg, Rp, Gg, Gll, Gll, Gg, Gg, Gg, Gs, Gg, Gg, Rp, Gg, Rp, Rp
Re, Gg, Ww, Re, Gll, Gll, Gll, Gll, Gs, Gg, Hh, Hh, Gs, Gs, Gs, Gs, Gll, Gs, Gg, Gg, Gll, Gll, Gll, Gll, Gg, Gg, Rp, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Rp, Gs, Gg
